RENDIMENTO M/KG NAGOYA,"2,24",,,,,,,,
VALOR KG,"R$ 99,33",,,,,,,,
VALOR COSTURA,"R$ 13,00",,,,,,,,
,,,,,,,,,
MODELO,SKU,TECIDO,CUSTO TECIDO,CUSTO TOTAL,ATACADO,VAREJO,LUCRO ATACADO,LUCRO VAREJO,COLECAO
LEGGING FLARE HELENA,436,"0,95","42,13","55,13","R$ 80,00","R$ 109,90","R$ 24,87","R$ 54,77",ESSENTIAL
MACAQUINHO ISA,430,"0,70","31,04","44,04","R$ 95,00","R$ 139,90","R$ 50,96","R$ 95,86",ESSENTIAL
TOP HELENA ,432,"0,20","8,87","21,87","R$ 45,00","R$ 59,90","R$ 23,13","R$ 38,03",ESSENTIAL
REGATA NAY,437,"0,40","17,74","30,74","R$ 55,00","R$ 79,90","R$ 24,26","R$ 49,16",ESSENTIAL
JAQUETA LARI,435,"0,70","31,04","44,04","R$ 70,00","R$ 99,90","R$ 25,96","R$ 55,86",ESSENTIAL
SHORT NAY,433,"0,40","17,74","30,74","R$ 55,00","R$ 69,90","R$ 24,26","R$ 39,16",ESSENTIAL
LEGGING CAMILLE,434,"0,70","31,04","44,04","R$ 70,00","R$ 89,90","R$ 25,96","R$ 45,86",ESSENTIAL
TOP CAMILLE,431,"0,30","13,30","26,30","R$ 45,00","R$ 59,90","R$ 18,70","R$ 33,60",ESSENTIAL
SHORT TREND,360,"0,85","37,69","50,69","R$ 60,00","R$ 79,90","R$ 9,31","R$ 29,21",TREND
TOP TREND,347,"0,67","29,71","42,71","R$ 55,00","R$ 65,00","R$ 12,29","R$ 22,29",TREND
LEGGING CRIS,5,"0,80","35,48","48,48","R$ 70,00","R$ 89,90","R$ 21,53","R$ 41,43",ENERGY
TOP CRIS,349,"0,35","15,52","28,52","R$ 45,00","R$ 59,90","R$ 16,48","R$ 31,38",ENERGY
TOP LUA,393,"0,22","9,76","22,76","R$ 45,00","R$ 59,90","R$ 22,24","R$ 37,14",HIT
CONJUNTO YARA,418,"0,50","22,17","35,17","R$ 80,00","R$ 119,90","R$ 44,83","R$ 84,73",ENERGY
COLETE YARA ,421,"0,40","17,74","30,74","R$ 55,00","R$ 79,90","R$ 24,26","R$ 49,16",ENERGY
MACAQUINHO LUANA,398,"0,8","35,48","48,48","R$ 95,00","R$ 139,90","R$ 46,53","R$ 91,43",HIT
MACAQUINHO YAS,399,"0,8","35,48","48,48","R$ 95,00","R$ 139,90","R$ 46,53","R$ 91,43",TREND
TOP MARA,15,"0,3","13,30","26,30","R$ 39,90","R$ 45,00","R$ 13,60","R$ 18,70",MOOD